"R0",,,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","displacement","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]"
168,2.5972,15.5735,-411.578,0.00942812,0.00164224,-0.000974733,0.00973261,0.000189179,0.000194257,0.000980022
169,2.5972,15.5735,-411.578,0.00943412,0.00160422,-0.000163684,0.00962158,0.000189992,0.000195271,0.000984324
170,2.5972,15.5735,-411.578,0.00965554,0.0015004,-0.000665007,0.00988471,0.000188084,0.000193091,0.000974335
171,2.5972,15.5735,-411.578,0.0100317,0.00166464,-0.000981485,0.0103454,0.000193367,0.000198755,0.00100141
172,2.5972,15.5735,-411.578,0.0104867,0.0014504,-0.00159384,0.0107706,0.000194992,0.000199761,0.00100986
173,2.5972,15.5735,-411.578,0.0106353,0.00141188,-0.00127227,0.0108648,0.000187797,0.000193521,0.000972988
174,2.5972,15.5735,-411.578,0.0104878,0.0014814,-0.000344649,0.0106446,0.000189727,0.000194872,0.000982621
175,2.5972,15.5735,-411.578,0.0102352,0.00150252,-0.000766514,0.0105277,0.00018893,0.000194195,0.000978588
176,2.5972,15.5735,-411.578,0.00968334,0.00156051,-0.000997238,0.00995348,0.000188725,0.000194022,0.000977589
177,2.5972,15.5735,-411.578,0.00929949,0.00163953,-0.00100434,0.00958296,0.000189808,0.000195412,0.000983356
178,2.5972,15.5735,-411.578,0.00909907,0.00138251,-0.00021997,0.00927297,0.00019127,0.000196625,0.000990797
179,2.5972,15.5735,-411.578,0.00902911,0.00137653,0.000551675,0.00919878,0.000189094,0.000194268,0.00097971
180,2.5972,15.5735,-411.578,0.00939879,0.00111496,9.59847e-05,0.00950769,0.00018933,0.000194988,0.000980561
181,2.5972,15.5735,-411.578,0.00983469,0.00098465,-0.000362103,0.00997395,0.000188239,0.000193701,0.000975054
182,2.5972,15.5735,-411.578,0.00976183,0.000967865,0.00027011,0.00995091,0.000186398,0.000191512,0.000965526
183,2.5972,15.5735,-411.578,0.00961224,0.000789701,0.000769102,0.00977431,0.000188853,0.000194,0.000978292
184,2.5972,15.5735,-411.578,0.00908255,0.000900062,0.00157176,0.00933044,0.000191971,0.000197325,0.000994529
185,2.5972,15.5735,-411.578,0.00842818,0.000799146,0.00116541,0.00860329,0.000192077,0.000197397,0.000994822
186,2.5972,15.5735,-411.578,0.00793815,0.000830976,0.000172293,0.00817724,0.000188305,0.00019317,0.000975456
187,2.5972,15.5735,-411.578,0.00758869,0.000674767,0.000604433,0.00777685,0.000190052,0.000195496,0.000984548
188,2.5972,15.5735,-411.578,0.00749423,0.000587508,0.000750265,0.00765242,0.000190201,0.000195186,0.000985036
189,2.5972,15.5735,-411.578,0.00781251,0.000362654,0.00100925,0.00798843,0.0001919,0.000196972,0.000994026
190,2.5972,15.5735,-411.578,0.00801483,0.000114738,0.00163916,0.00830755,0.000187652,0.000192902,0.000971764
191,2.5972,15.5735,-411.578,0.00811758,0.000124479,0.00141767,0.00840456,0.000191427,0.000196568,0.000991481
192,2.5972,15.5735,-411.578,0.00766527,4.66671e-06,0.00267866,0.00822863,0.000194319,0.000200121,0.00100648
