"Temps total (s)";"Temps de cycle écoulé (s)";"Nombre total de cycles";"Cycles écoulés";"Etape";"Boucle 1";"Nombre total de cycles(Forme d'onde Linear)";"Nombre total de cycles(Forme d'onde Rotary)";"Pos (µm)";"Effort_5N (N)";
10,5;10,5;1;1;1;1;0;0;-18548,8839589774;-1,86533540487289;
10,55;10,55;1;1;1;1;0;0;-18551,5625916511;-1,87781170010567;
10,6;10,6;1;1;1;1;0;0;-18554,2394361855;-1,89165711402893;
10,65;10,65;1;1;1;1;0;0;-18556,9180688592;-1,90332159399986;
10,7;10,7;1;1;1;1;0;0;-18559,5949133936;-1,91845327615738;
10,75;10,75;1;1;1;1;0;0;-18562,2735460673;-1,93041324615479;
10,8;10,8;1;1;1;1;0;0;-18564,952178741;-1,94308057427406;
10,85;10,85;1;1;1;1;0;0;-18567,6290232754;-1,95577517151833;
10,9;10,9;1;1;1;1;0;0;-18570,2075201482;-1,96555390954018;
10,95;10,95;1;1;1;1;0;0;-18571,9920831711;-1,97488650679588;
11;11;1;1;1;1;0;0;-18573,5316711098;-1,9833068549633;
11,05;11,05;1;1;1;1;0;0;-18574,8709874466;-1,99888840317726;
11,1;11,1;1;1;1;1;0;0;-18576,8826441609;-2,01615929603577;
11,15;11,15;1;1;1;1;0;0;-18580,4195836993;-2,03158676624298;
11,2;11,2;1;1;1;1;0;0;-18583,9887097452;-2,04529374837875;
11,25;11,25;1;1;1;1;0;0;-18587,5596239303;-2,05976977944374;
11,3;11,3;1;1;1;1;0;0;-18591,1269618369;-2,07424059510231;
11,35;11,35;1;1;1;1;0;0;-18593,8181114857;-2,08607241511345;
11,4;11,4;1;1;1;1;0;0;-18596,049709334;-2,09990441799164;
11,45;11,45;1;1;1;1;0;0;-18598,2813071824;-2,11412489414215;
11,5;11,5;1;1;1;1;0;0;-18600,5129050307;-2,12732747197151;
11,55;11,55;1;1;1;1;0;0;-18602,744502879;-2,14118912816048;
11,6;11,6;1;1;1;1;0;0;-18605,2514741798;-2,15445250272751;
11,65;11,65;1;1;1;1;0;0;-18607,9301068535;-2,16777309775352;
11,7;11,7;1;1;1;1;0;0;-18610,6087395272;-2,18167275190353;
11,75;11,75;1;1;1;1;0;0;-18613,2855840616;-2,19505429267883;
11,8;11,8;1;1;1;1;0;0;-18615,9642167353;-2,20798015594482;
11,85;11,85;1;1;1;1;0;0;-18618,6410612697;-2,22165152430534;
11,9;11,9;1;1;1;1;0;0;-18621,3196939434;-2,23536550998688;
