"Temps total (s)";"Temps de cycle écoulé (s)";"Nombre total de cycles";"Cycles écoulés";"Etape";"Boucle 1";"Nombre total de cycles(Forme d'onde Linear)";"Nombre total de cycles(Forme d'onde Rotary)";"Pos (µm)";"Effort_5N (N)";
6,6;6,6;1;1;1;1;0;0;-14888,3044225991;-0,287315007299185;
6,65;6,65;1;1;1;1;0;0;-14888,7505633548;-0,289231166243553;
6,7;6,7;1;1;1;1;0;0;-14889,1967041105;-0,291421040892601;
6,75;6,75;1;1;1;1;0;0;-14889,4783360505;-0,293559916317463;
6,8;6,8;1;1;1;1;0;0;-14889,4783360505;-0,295932572335005;
6,85;6,85;1;1;1;1;0;0;-14889,4783360505;-0,29787041246891;
6,9;6,9;1;1;1;1;0;0;-14889,4783360505;-0,299733150750399;
6,95;6,95;1;1;1;1;0;0;-14889,4783360505;-0,301648583263159;
7;7;1;1;1;1;0;0;-14889,4783360505;-0,303329471498728;
7,05;7,05;1;1;1;1;0;0;-14889,5900947569;-0,305341389030218;
7,1;7,1;1;1;1;1;0;0;-14890,0362355126;-0,307923220098019;
7,15;7,15;1;1;1;1;0;0;-14890,4823762683;-0,310600232332945;
7,2;7,2;1;1;1;1;0;0;-14890,9285170241;-0,312487240880728;
7,25;7,25;1;1;1;1;0;0;-14891,3746577798;-0,314300544559956;
7,3;7,3;1;1;1;1;0;0;-14891,8216926052;-0,316645950078964;
7,35;7,35;1;1;1;1;0;0;-14892,2678333609;-0,318601988255978;
7,4;7,4;1;1;1;1;0;0;-14892,7139741166;-0,320624560117722;
7,45;7,45;1;1;1;1;0;0;-14893,1601148724;-0,323232635855675;
7,5;7,5;1;1;1;1;0;0;-14893,6062556281;-0,325906276702881;
7,55;7,55;1;1;1;1;0;0;-14894,0532904535;-0,327688977122307;
7,6;7,6;1;1;1;1;0;0;-14894,082794752;-0,329904220998287;
7,65;7,65;1;1;1;1;0;0;-14894,082794752;-0,332549028098583;
7,7;7,7;1;1;1;1;0;0;-14894,082794752;-0,334831923246384;
7,75;7,75;1;1;1;1;0;0;-14894,082794752;-0,336805991828442;
7,8;7,8;1;1;1;1;0;0;-14894,082794752;-0,338347516953945;
7,85;7,85;1;1;1;1;0;0;-14894,082794752;-0,340487957000732;
7,9;7,9;1;1;1;1;0;0;-14894,3805199457;-0,342714712023735;
7,95;7,95;1;1;1;1;0;0;-14894,8266607014;-0,345087274909019;
8;8;1;1;1;1;0;0;-14895,2728014571;-0,347637385129929;
8,05;8,05;1;1;1;1;0;0;-14895,7198362825;-0,350207313895226;
8,1;8,1;1;1;1;1;0;0;-14896,1659770383;-0,352674089372158;
8,15;8,15;1;1;1;1;0;0;-14896,612117794;-0,354770459234715;
8,2;8,2;1;1;1;1;0;0;-14897,0582585497;-0,355984158813953;
8,25;8,25;1;1;1;1;0;0;-14897,5043993055;-0,35823754966259;
8,3;8,3;1;1;1;1;0;0;-14897,9514341309;-0,360167026519775;
8,35;8,35;1;1;1;1;0;0;-14898,3975748866;-0,362691171467304;
