Temps total (s),Temps de cycle écoulé (s),Nombre total de cycles,Cycles écoulés,Etape,Nombre total de cycles(Forme d'onde Linear),Nombre total de cycles(Forme d'onde Rotary),Pos (ľm),Effort_5N (N)
"0,367","0,367",1,1,1,0,0,"11347,58655","0,002630348"
"0,368","0,368",1,1,1,0,0,"11347,58297","0,001666378"
"0,369","0,369",1,1,1,0,0,"11347,57045","0,000577108"
"0,37","0,37",1,1,1,0,0,"11347,55794","-0,000577345"
"0,371","0,371",1,1,1,0,0,"11347,55436","-0,001627225"
"0,372","0,372",1,1,1,0,0,"11347,56419","-0,002386472"
"0,373","0,373",1,1,1,0,0,"11347,5785","-0,0027159"
"0,374","0,374",1,1,1,0,0,"11347,59459","-0,002493644"
"0,375","0,375",1,1,1,0,0,"11347,59906","-0,001697643"
"0,376","0,376",1,1,1,0,0,"11347,5928","-0,000531315"
"0,377","0,377",1,1,1,0,0,"11347,58118","0,000757826"
"0,378","0,378",1,1,1,0,0,"11347,56866","0,002020956"
"0,379","0,379",1,1,1,0,0,"11347,55972","0,003183791"
"0,38","0,38",1,1,1,0,0,"11347,56509","0,004053828"
"0,381","0,381",1,1,1,0,0,"11347,57313","0,004371577"
"0,382","0,382",1,1,1,0,0,"11347,5785","0,004036506"
"0,383","0,383",1,1,1,0,0,"11347,57135","0,003108373"
"0,384","0,384",1,1,1,0,0,"11347,5633","0,001819064"
"0,385","0,385",1,1,1,0,0,"11347,55972","0,000400608"
"0,386","0,386",1,1,1,0,0,"11347,57492","-0,00096608"
"0,387","0,387",1,1,1,0,0,"11347,5928","-0,002170173"
"0,388","0,388",1,1,1,0,0,"11347,5928","-0,0030977"
"0,389","0,389",1,1,1,0,0,"11347,58118","-0,0034856"
"0,39","0,39",1,1,1,0,0,"11347,56956","-0,003184895"
"0,391","0,391",1,1,1,0,0,"11347,57403","-0,002297033"
"0,392","0,392",1,1,1,0,0,"11347,59012","-0,00103923"
"0,393","0,393",1,1,1,0,0,"11347,60353","0,000416669"
"0,394","0,394",1,1,1,0,0,"11347,59906","0,001845895"
"0,395","0,395",1,1,1,0,0,"11347,57135","0,002974733"
"0,396","0,396",1,1,1,0,0,"11347,54005","0,003679655"
"0,397","0,397",1,1,1,0,0,"11347,53558","0,003896817"
"0,398","0,398",1,1,1,0,0,"11347,55972","0,003659097"
"0,399","0,399",1,1,1,0,0,"11347,59012","0,0031133"
"0,4","0,4",1,1,1,0,0,"11347,59459","0,002327324"
"0,401","0,401",1,1,1,0,0,"11347,57135","0,001400481"
"0,402","0,402",1,1,1,0,0,"11347,54542","0,000492441"
"0,403","0,403",1,1,1,0,0,"11347,54899","-0,000261655"
"0,404","0,404",1,1,1,0,0,"11347,57671","-0,000719414"
"0,405","0,405",1,1,1,0,0,"11347,61247","-0,000807471"
"0,406","0,406",1,1,1,0,0,"11347,62767","-0,000525387"
